Id,Title,NumberOfChildren,Tags,ChildTitles
"513832","How do I compare strings in Java?","7","<java><string><equality>","Java returning different results for same input and algorithm||Not able to read variable within if statement but can read it everywhere else||How can I come out of for loop?||Can't move between array questions, keeps getting me back to my previous activity||Quick sort StackOverflowError ascending input||Inequality, while loop and counting the score fails in fishing game in Java||Here I wrote a java function for mean calculation"
"5187530","""Variable"" variables in Javascript?","2","<javascript><variables><variable-variables>","Is it possible to 'compute' an array name (e.g. by concatenating two strings?), in order to access an existing array?||Define new variable with argument function"
"5319922","Python - Check If Word Is In A String","2","<python><string>","Python3.7, need help if == ('Nikon'): Nikon is is the veriable I and testing||Looking for a specific character in a list of strings"
"6542996","How to split csv whose columns may contain ,","2","<c#><.net><csv>","Issue with a Regex.Split||How correctly split string In C# with delimiter"
"66828571","`mime.hasImage()` returns `true` but `mime.imageData()` returns `None` on Linux","2","<python><linux><pyqt><pyqt5>","Empty image in QClipboard||What format is an Excel cell copied as image to the clipboard and why does QMimeData show this strange behavior?"
"9961563","How can I make a sprite move when key is held down","2","<python><pygame>","Why is my player sprite not moving even though the computer recognizes the movement?||How to make the characters in a list moved on the screen"
"20646822","How to serve static files in Flask","3","<python><flask><static-files>","Flask display image||The image does not show up but could recognize the filename from database||Download and Display any file in Python Flask"
"23294658","Asking the user for input until they give a valid response","8","<python>","Python Else statement is voided||How do i make this code recognise my input?||While loop isn't terminating in first attempt||Why is my 'while' loop not working in Python?||How to continue the program while the input is incorrect in python?||How to stop the user from inputting 0 inside a random.sample call||How to efficiently confirm user input||How to stop user from entering invalid operation sign"
"370357","UnboundLocalError on local variable when reassigned after first use","2","<python><variables><scope>","local variable 'demo_hour' referenced before assignment tkinter||Variable assigned yet not appearing as so"
"37576685","Using async/await with a forEach loop","2","<javascript><node.js><promise><async-await><ecmascript-2017>","Why in asynchronous programming, the following two pieces of code will show different results. How to interpret these two pieces of code? or interpret||How i can return the original data of this promise data"
"419163","What does if __name__ == ""__main__"": do?","3","<python><namespaces><main><python-module><idioms>","Use a function (but nothing else) from another script||In the working world what's the global standard for structuring functions?||Importing a file in Python runs the entire file"
"48425797","Group array of object nesting some of the keys with specific names","2","<javascript><arrays><object><nested><grouping>","How can I convert my input to the following mentioned format in JavaScript||How to combine array that has the same values in Javascript"
"49432579","await is only valid in async function","2","<javascript><node.js>","NodeJS Await Within Await Unexpected Token||Node.js: Parsing error: Unexpected token admin"
"53010406","Pandas: how to merge two dataframes on a column by keeping the information of the first one?","3","<python><pandas><dataframe>","Python: Map a string value from one dataframe to another dataframe using a id, while creating a new column in the older dataframe||Merge 2 DataFrames based on a column or index||Fetch ID corresponding to a value"
"65571854","Flexbox displays divs incorrectly rather than making the container scrollable","2","<html><css>","How to center a horizontally scrollable (flex) div without breaking first element?||How to center a horizontally scrollable div, without cutting off the first element?"
"684672","How do I loop through or enumerate a JavaScript object?","3","<javascript><loops><for-loop><each>","how to change an object to array in postman in order to solve ""TypeError: tasks.map is not a function""||Iterate through a state variable in Reactjs||Using map to get items from object containing item arrays"
"9519841","Why does this CSS margin-top style not work?","2","<html><margin><css>","why Margin property is behaving differently in case of border and non border?||margin-top moves the entire pre-footer"
"44377343","CSS-only masonry layout","5","<html><css><flexbox><css-grid>","Can I create a Masonry layout using Tailwind CSS utility classes?||Can I create a Masonry layout using Tailwind CSS utility classes?||Flex-wrap to start at the vertical end of previous row||How to set height auto in Grid?||How to design column based css grid layout dynamically as like this screenshot?"
"4728144","Check variable equality against a list of values","3","<javascript>","unpredictable result of ""else if"" statement within a function in JS||I don't want to put `data` so many times , Is there any way to write it only once?||What is the best way to chain OR statements in Javascript?"
"53645882","Pandas Merging 101","4","<python><pandas><join><merge><concatenation>","Compare two columns of two csv files and return 3rd column in python||Compare two dataframes and get a value||pandas data frame matching rows||Pandas : Assign value to column by looking up another dataframe"
"5767228","Why is the command bound to a Button or event executed when declared?","5","<python><tkinter>","Tkinter Radio button Dynamic select||Tkinter mainloop broken, messagebox keeps popping up||I tried to play the movie from the GUI but allways the movie runs before clicking on the Button||Get the value of Radiobutton Python tkinter||when I push a button in Tkinter nothing happens"
"57730329","Why is my collision test always returning 'true' and why is the position of the rectangle of the image always wrong (0, 0)?","2","<python><pygame><collision-detection><pygame-surface>","issues with checking if my images collided in pygame||How do I make my sprite detect collision?"
"59763531","Maven dependencies are failing with a 501 error","2","<java><maven><jenkins><maven-central>","I can’t run any program in netbeans / maven/java||How can i solve this plugin issue"
"62120723","Why is the PyGame animation is flickering","2","<python><pygame><pycharm>","Typewriter animated effect on pygame||Why does my image keep flashing in pygame?"
"7745609","SQL select only rows with max value on a column","2","<mysql><sql><aggregate-functions><greatest-n-per-group><groupwise-maximum>","How to pull distinct rows based on max timestamp?||If two candidates is having max number of marks how could I grab both details in MySQL"
"9733638","How to POST JSON data with Python Requests?","2","<python><json><python-requests><cherrypy>","How to send data from one program to an other standalone program?||Yet again: ""the JSON object must be str, bytes or bytearray, not list"" in requests library"
